TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,16056,75,16,16D,162,0,BOURG CHARENTE,Bourg-Charente,Bourg-Charente,1615,NA
COM,16057,75,16,16D,162,0,BOUTEVILLE,Bouteville,Bouteville,1607,NA
COM,16058,75,16,16D,162,0,BOUTIERS SAINT TROJAN,Boutiers-Saint-Trojan,Boutiers-Saint-Trojan,1611,NA
COM,16059,75,16,16D,163,0,BRETTES,Brettes,Brettes,1608,NA
COM,16060,75,16,16D,162,0,BREVILLE,Bréville,Bréville,1611,NA
COM,16061,75,16,16D,161,0,BRIE,Brie,Brie,1616,NA
COM,16062,75,16,16D,162,0,BRIE SOUS BARBEZIEUX,Brie-sous-Barbezieux,Brie-sous-Barbezieux,1609,NA
COM,16063,75,16,16D,161,0,BRIE SOUS CHALAIS,Brie-sous-Chalais,Brie-sous-Chalais,1617,NA
COM,16064,75,16,16D,163,0,BRIGUEUIL,Brigueuil,Brigueuil,1610,NA
COM,16065,75,16,16D,163,0,BRILLAC,Brillac,Brillac,1610,NA
COM,16066,75,16,16D,162,0,BROSSAC,Brossac,Brossac,1609,NA
COM,16067,75,16,16D,161,0,BUNZAC,Bunzac,Bunzac,1619,NA
COM,16068,75,16,16D,163,0,CELLEFROUIN,Cellefrouin,Cellefrouin,1605,NA
COM,16069,75,16,16D,163,0,CELLETTES,Cellettes,Cellettes,1605,NA
COM,16070,75,16,16D,163,0,CHABANAIS,Chabanais,Chabanais,1610,NA
COM,16071,75,16,16D,163,0,CHABRAC,Chabrac,Chabrac,1610,NA
COM,16072,75,16,16D,161,0,CHADURIE,Chadurie,Chadurie,1617,NA
COM,16073,75,16,16D,161,0,CHALAIS,Chalais,Chalais,1617,NA
COM,16074,75,16,16D,162,0,CHALLIGNAC,Challignac,Challignac,1609,NA
COM,16075,75,16,16D,162,0,CHAMPAGNE VIGNY,Champagne-Vigny,Champagne-Vigny,1609,NA
COM,16076,75,16,16D,163,0,CHAMPAGNE MOUTON,Champagne-Mouton,Champagne-Mouton,1606,NA
COM,16077,75,16,16D,162,0,CHAMPMILLON,Champmillon,Champmillon,1618,NA
COM,16078,75,16,16D,161,0,CHAMPNIERS,Champniers,Champniers,1614,NA
COM,16079,75,16,16D,162,0,CHANTILLAC,Chantillac,Chantillac,1609,NA
COM,16081,75,16,16D,163,3,CHAPELLE,Chapelle,La Chapelle,1605,NA
COM,16082,75,16,16D,161,0,BOISNE LA TUDE,Boisné-La Tude,Boisné-La Tude,1617,NA
COM,16083,75,16,16D,163,0,CHARME,Charmé,Charmé,1608,NA
COM,16084,75,16,16D,161,0,CHARRAS,Charras,Charras,1619,NA
COM,16085,75,16,16D,163,0,CHASSENEUIL SUR BONNIEURE,Chasseneuil-sur-Bonnieure,Chasseneuil-sur-Bonnieure,1606,NA
COM,16086,75,16,16D,163,0,CHASSENON,Chassenon,Chassenon,1610,NA
COM,16087,75,16,16D,163,0,CHASSIECQ,Chassiecq,Chassiecq,1606,NA
